citric acid,sulphates,alcohol,type
0.24,0.52,9.4,low
0.49,0.56,9.4,low
0.66,0.73,10,low
0.32,0.77,10,low
0.38,0.82,10,low
0,0.37,10.1,low
0.42,0.32,12.8,high
0.26,0.34,12.8,high
0.48,0.39,12.8,high
0.43,0.59,12.8,high
0.35,0.6,12.8,high
0.67,0.69,12.8,low
0.32,0.76,12.8,low
0.36,0.25,12.9,high
0.29,0.34,12.9,high
0.54,0.34,12.9,high
0.4,0.37,12.9,high
0.49,0.38,12.9,high
0.27,0.42,12.9,high
0.25,0.5,12.9,high
0.46,0.53,12.9,high
0.58,0.6,12.9,high
0.29,0.35,13,high
0.34,0.36,13,high
0.48,0.39,13,high
0.27,0.42,13,high
0.36,0.48,13,high
0.43,0.5,13,high
0.14,0.51,13,high
0.34,0.53,13,high
0.15,0.56,13,low
0.28,0.56,13,high
0.43,0.59,13,high
0.49,0.27,13.1,high
0.47,0.32,13.1,high
0.27,0.6,13.1,high
0.27,0.6,13.1,high
0.31,0.62,13.1,high
0.51,0.9,13.1,low
0.37,0.48,13.2,high
0.26,0.49,13.2,high
0.28,0.57,13.2,high
0,0.73,13.2,low
0.11,0.88,13.2,low
0.33,0.32,13.2,high
0.34,0.33,13.2,high
0.4,0.36,13.2,high
0.34,0.45,13.2,high
0.28,0.65,13.2,high
0.26,0.78,13.2,high
0.35,0.57,13.3,high
0.48,0.79,13.3,high
0.39,0.36,13.3,high
0.4,0.49,13.3,high
0.18,0.54,13.3,high
0.28,0.57,13.3,high
0,0.74,13.3,low
0.36,0.34,13.4,high
0.24,0.26,13.4,high
0.32,0.4,13.4,high
0.49,0.42,13.4,high
0.03,0.82,13.4,low
0.33,0.32,13.5,high
0.3,0.6,13.5,high
0.11,0.88,13.5,low
0.34,0.88,13.5,low
0.34,0.48,13.6,high
0.28,0.64,13.6,high
0.15,0.77,13.6,high
0.16,0.53,13.7,high
0.16,0.53,13.7,high
0.24,0.38,13.7,high
0.24,0.26,13.8,high
0.12,0.36,13.8,high
0.24,0.74,13.8,low
0.15,0.77,13.8,high
0.27,0.27,13.9,high
0.31,0.59,14.5,high
